incident_type,details,county,month,year
Poisoning,Species involved: Golden eagle x 1. Tested positive for: Carbofuran.,SCOTTISH BORDERS,August,2007
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,SOUTH LANARKSHIRE,April,2007
Nest Destruction,Species involved: Peregrine falcon nest.,EDINBURGH CITY,June,2007
Shooting,Species involved: Hen harrier x 1.,NORFOLK,October,2007
Poisoning,Species targeted: Birds of prey. Species involved: Cat x 1. Tested positive for: Aldicarb,COUNTY DURHAM,September,2007
Shooting,Species involved: Red kite x 1.,BLAENAU GWENT,September,2007
Poisoning,Species involved: Buzzard x 1; poison bait (rabbit) x 1. Tested positive for: Alphachloralose.,NORTH YORKSHIRE,March,2007
Poisoning,Species involved: Red kite x 1. Tested positive for: Chlorpyrifos.,STIRLING,October,2007
Poisoning,Species involved: Red kite x 1. Tested positive for: Chlorpyrifos.,STIRLING,August,2007
Shooting,Species involved: Buzzard x 1.,HIGHLAND,March,2007
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,SOUTH LANARKSHIRE,March,2007
Poisoning,Species targeted: Birds of prey. Species involved: Lesser black-backed gull x 1; poison bait (rabbit) x 1. Tested positive for: Alphachloralose.,NORTH YORKSHIRE,April,2007
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,SCOTTISH BORDERS,September,2007
Shooting,Species involved: Kestrel x 1.,WILTSHIRE,April,2007
Illegal Trapping (Other),Species targeted: Sparrowhawk.,COUNTY DURHAM,September,2007
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,PERTH AND KINROSS,June,2007
Poisoning,Species targeted: Birds of prey. Species involved: Dog x 1; poison bait (meat) x 1. Tested positive for: Carbofuran.,ARMAGH,June,2007
PersecutionOther,Species targeted: Birds of prey. Possession of: Alphachloralose,NORTH YORKSHIRE,May,2007
Poisoning,Species targeted: Birds of prey. Species involved: Dog x 1; poison bait (rabbit) x 1. Tested positive for: Aldicarb.,MIDLOTHIAN,April,2007
Illegal Trapping (Other),Species involved: Buzzard x 1.,CUMBRIA,July,2007
Poisoning,Species involved: Buzzard x 2; poison bait (pheasant) x 2. Tested positive for: Carbofuran.,DENBIGHSHIRE,August,2007
Shooting,Species involved: Buzzard x 1.,HIGHLAND,September,2007
Illegal Pole/Spring Trapping,Species involved: Peregrine falcon x 1.,STAFFORDSHIRE,August,2007
Poisoning,Species targeted: Birds of prey. Species involved: Cat x 2. Tested positive for: Carbofuran,SOUTH AYRSHIRE,April,2007
Shooting,Species involved: Short-eared owl x1.,DUMFRIES AND GALLOWAY,May,2007
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,LONDONDERRY,December,2007
Poisoning,Species involved: Buzzard x 1; poison bait (rabbit) x 1. Tested positive for: Carbofuran.,HIGHLAND,December,2007
Shooting,Species involved: Buzzard x 1.,NORTHUMBERLAND,September,2007
Shooting,Species involved: Peregrine falcon x 1.,LANCASHIRE,July,2007
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (pigeon) x 1. Tested positive for: Carbofuran.,SOUTH AYRSHIRE,May,2007
Illegal Trapping (Other),Species targeted: Birds of prey.,NORTH YORKSHIRE,May,2007
Shooting,Species targeted: Buzzard.,SHROPSHIRE,May,2007
Poisoning,Species involved: Perergine x 1; poison bait (pigeon) x 1. Tested positive for: Alphachloralose.,PEMBROKESHIRE,April,2007
Poisoning,"Species involved: Red kite x 1. Tested positive for: Carbofuran, isofenphos.",PERTH AND KINROSS,October,2007
Shooting,Species involved: Osprey x 1.,SHROPSHIRE,May,2007
Shooting,Species involved: Buzzard x 1.,HIGHLAND,September,2007
Poisoning,"Species involved: Red kite x 1. Tested positive for: Carbofuran, isofenphos.",PERTH AND KINROSS,September,2007
Shooting,Species involved: Buzzard x 1.,CUMBRIA,January,2007
Shooting,Species involved: Buzzard x 1.,SOUTH AYRSHIRE,November,2007
Illegal Trapping (Other),Species involved: Buzzard x 2.,ABERDEENSHIRE,August,2007
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,SUFFOLK,March,2007
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,GLOUCESTERSHIRE,September,2007
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,HIGHLAND,May,2007
Illegal Trapping (Other),Species targeted: Birds of prey.,SCOTTISH BORDERS,August,2007
Shooting,Species targeted: Buzzard.,SHROPSHIRE,July,2007
Illegal Trapping (Other),Species targeted: Birds of prey.,NOTTINGHAMSHIRE,August,2007
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran,PERTH AND KINROSS,January,2007
Shooting,Species involved: Buzzard x 1.,ABERDEENSHIRE,August,2007
Shooting,Species involved: Buzzard x 1.,CUMBRIA,April,2007
Shooting,Species involved: Buzzard x 1.,ABERDEENSHIRE,November,2007
Shooting,Species involved: Kestrel x 1.,SURREY,Unknown,2007
Illegal Trapping (Other),Species targeted: Sparrowhawk.,COUNTY DURHAM,September,2007
PersecutionOther,Species targeted: Birds of prey. Possession of: Carbofuran.,NORTHUMBERLAND,June,2007
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,SHROPSHIRE,May,2007
Shooting,Species involved: Buzzard x 1.,ABERDEENSHIRE,May,2007
Poisoning,Species involved: Red kite x 2; crow x 1; fox x 1; poison bait (rabbit) x 1. Tested positive for: Mevinphos,NORTH YORKSHIRE,September,2007
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,SHROPSHIRE,July,2007
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,MORAY,May,2007
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,SHROPSHIRE,May,2007
Shooting,Species involved: Buzzard x 1.,SHROPSHIRE,May,2007
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (hare) x 2. Tested positive for: Mevinphos,HIGHLAND,March,2007
Shooting,Species involved: Buzzard x 1.,CUMBRIA,April,2007
Shooting,Species involved: Hobby x 1.,GLOUCESTERSHIRE,September,2007
Shooting,Species involved: Buzzard x 1.,HIGHLAND,December,2007
